,ticker,symbol,per,pbr,dividend_yield
0,095570,AJ네트웍스,12.06,0.48,6.0
1,006840,AK홀딩스,8.68,0.28,1.56
2,027410,BGF,4.45,0.2,3.43
3,282330,BGF리테일,9.78,1.82,3.78
4,138930,BNK금융지주,5.04,0.3,5.17
5,001460,BYC,12.43,0.52,0.9
6,001465,BYC우,4.93,0.21,2.31
7,001040,CJ,17.48,0.75,2.4
8,079160,CJ CGV,,1.43,
9,00104K,CJ4우(전환),12.87,0.55,3.26
10,000120,CJ대한통운,9.42,0.54,0.53
11,011150,CJ씨푸드,19.15,1.68,
12,011155,CJ씨푸드1우,97.32,8.54,
13,001045,CJ우,8.32,0.36,5.14
14,097950,CJ제일제당,12.13,0.75,1.58
15,097955,CJ제일제당 우,5.05,0.31,3.82
16,000480,CR홀딩스,87.61,0.42,6.99
17,000590,CS홀딩스,4.42,0.25,0.73
18,012030,DB,26.82,0.74,
19,016610,DB금융투자,26.1,0.19,4.23
20,005830,DB손해보험,4.78,0.74,4.38
21,000990,DB하이텍,8.24,1.02,1.35
22,139130,DGB금융지주,4.21,0.23,6.67
23,001530,DI동일,136.07,1.0,0.82
24,000210,DL,,0.26,2.19
25,000215,DL우,,0.14,4.19
26,375500,DL이앤씨,11.07,0.29,1.56
27,37550L,DL이앤씨2우(전환),7.59,0.2,2.28
28,37550K,DL이앤씨우,5.63,0.15,3.38
29,007340,DN오토모티브,3.24,0.63,3.37
30,004840,DRB동일,30.27,0.25,2.0
31,155660,DSR,3.74,0.3,1.47
32,069730,DSR제강,,0.37,1.46
33,017860,DS단석,9.1,1.51,
34,017940,E1,4.86,0.28,6.94
35,365550,ESR켄달스퀘어리츠,,,
36,383220,F&F,5.17,1.57,3.13
37,007700,F&F홀딩스,4.51,0.25,2.96
38,114090,GKL,19.17,1.64,3.24
39,078930,GS,3.32,0.31,5.63
40,006360,GS건설,,0.42,
41,001250,GS글로벌,6.92,0.63,0.72
42,007070,GS리테일,58.83,0.53,2.42
43,078935,GS우,3.21,0.3,5.94
44,012630,HDC,5.48,0.21,2.85
45,039570,HDC랩스,17.76,0.77,5.41
46,089470,HDC현대EP,6.34,0.36,3.21
47,294870,HDC현대산업개발,9.58,0.51,2.95
48,009540,HD한국조선해양,17.85,1.34,
49,267250,HD현대,16.15,0.79,4.46
50,267270,HD현대건설기계,14.24,0.6,1.27
51,443060,HD현대마린솔루션,30.04,7.95,2.2
52,071970,HD현대마린엔진,16.39,2.72,
53,010620,HD현대미포,,2.25,
54,322000,HD현대에너지솔루션,,0.93,
55,042670,HD현대인프라코어,10.84,0.76,1.49
56,267260,HD현대일렉트릭,34.0,9.86,0.33
57,329180,HD현대중공업,90.55,3.43,
58,097230,HJ중공업,,0.7,
59,014790,HL D&I,3.32,0.26,
60,003580,HLB글로벌,,3.18,
61,204320,HL만도,7.1,0.7,1.68
62,060980,HL홀딩스,4.58,0.31,5.81
63,011200,HMM,7.46,0.56,3.94
64,035000,HS애드,7.8,0.6,7.11
65,002460,HS화성,4.32,0.22,5.54
66,487570,HS효성,,,
67,003560,IHQ,,0.73,
68,175330,JB금융지주,4.99,0.57,5.66
69,234080,JW생명과학,7.3,1.17,4.23
70,001060,JW중외제약,17.44,2.6,1.35
71,001067,JW중외제약2우B,34.45,5.14,0.69
