Unnamed: 0,ticker,Name,per,pbr,dividend_yield,Code,ISU_CD,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,095570,AJ네트웍스,12.06,0.48,6.0,095570,KR7095570008,KOSPI,,4410,1,60,1.38,4400,4420,4360,32363,142422060,199564667190,45252759,STK
1,006840,AK홀딩스,8.68,0.28,1.56,006840,KR7006840003,KOSPI,,13000,2,-270,-2.03,13310,13380,13000,2879,37878300,172218293000,13247561,STK
2,027410,BGF,4.45,0.2,3.43,027410,KR7027410000,KOSPI,,3490,2,-60,-1.69,3570,3580,3480,102795,360117820,334051600590,95716791,STK
3,282330,BGF리테일,9.78,1.82,3.78,282330,KR7282330000,KOSPI,,111000,2,-3000,-2.63,115000,115200,110800,44513,5008434700,1918513566000,17283906,STK
4,138930,BNK금융지주,5.04,0.3,5.17,138930,KR7138930003,KOSPI,,9500,2,-270,-2.76,9850,9870,9470,1174122,11326520500,3059840161000,322088438,STK
5,001460,BYC,12.43,0.52,0.9,001460,KR7001460005,KOSPI,,33750,1,150,0.45,33400,34350,33400,586,19680500,210807562500,6246150,STK
6,001465,BYC우,4.93,0.21,2.31,001465,KR7001461003,KOSPI,,13290,2,-100,-0.75,13450,13450,13150,4363,58070260,28624666500,2153850,STK
7,001040,CJ,17.48,0.75,2.4,001040,KR7001040005,KOSPI,,129300,1,12500,10.7,123000,134000,123000,471659,61339477800,3772585841400,29176998,STK
8,079160,CJ CGV,,1.43,,079160,KR7079160008,KOSPI,,6110,1,220,3.74,5930,6230,5870,2236989,13570242720,1011692180850,165579735,STK
9,00104K,CJ4우(전환),12.87,0.55,3.26,00104K,KR700104K010,KOSPI,,94000,1,7800,9.05,87800,95500,87800,37612,3491985600,397292128000,4226512,STK
10,000120,CJ대한통운,9.42,0.54,0.53,000120,KR7000120006,KOSPI,,93900,2,-2100,-2.19,96900,96900,93900,97479,9255384200,2142079101600,22812344,STK
11,011150,CJ씨푸드,19.15,1.68,,011150,KR7011150000,KOSPI,,3750,2,-100,-2.6,3870,3915,3735,693360,2628071115,134740398750,35930773,STK
12,011155,CJ씨푸드1우,97.32,8.54,,011155,KR7011151008,KOSPI,,19020,2,-340,-1.76,19500,19500,19020,260,4969970,3804000000,200000,STK
13,001045,CJ우,8.32,0.36,5.14,001045,KR7001041003,KOSPI,,60500,1,3000,5.22,58400,61200,58100,16594,1000330800,136743491500,2260223,STK
14,097950,CJ제일제당,12.13,0.75,1.58,097950,KR7097950000,KOSPI,,353000,2,-13000,-3.55,369500,370000,352000,40958,14555241000,5314127658000,15054186,STK
15,097955,CJ제일제당 우,5.05,0.31,3.82,097955,KR7097951008,KOSPI,,147900,2,-2300,-1.53,151900,151900,147700,3614,536203600,196327340700,1327433,STK
16,000480,CR홀딩스,87.61,0.42,6.99,000480,KR7000480004,KOSPI,,5860,1,40,0.69,5870,5870,5830,3987,23321240,274778271400,46890490,STK
17,000590,CS홀딩스,4.42,0.25,0.73,000590,KR7000590000,KOSPI,,68400,3,0,0.0,68700,69000,68200,776,53294600,78966568800,1154482,STK
18,012030,DB,26.82,0.74,,012030,KR7012030003,KOSPI,,1157,2,-4,-0.34,1172,1190,1151,329319,383915919,232758240481,201173933,STK
19,016610,DB금융투자,26.1,0.19,4.23,016610,KR7016610008,KOSPI,,4500,1,35,0.78,4465,4535,4465,54391,244945465,191008750500,42446389,STK
20,005830,DB손해보험,4.78,0.74,4.38,005830,KR7005830005,KOSPI,,106000,1,4000,3.92,103500,107400,103500,304971,32383114900,7504800000000,70800000,STK
21,000990,DB하이텍,8.24,1.02,1.35,000990,KR7000990002,KOSPI,,43600,1,1050,2.47,43500,43700,42450,543252,23384346850,1935778436800,44398588,STK
22,139130,DGB금융지주,4.21,0.23,6.67,139130,KR7139130009,KOSPI,,7960,1,30,0.38,7990,8020,7920,397971,3173246080,1346400830680,169145833,STK
23,001530,DI동일,136.07,1.0,0.82,001530,KR7001530005,KOSPI,,30400,2,-100,-0.33,30550,30600,30250,47007,1428898850,766556428800,25215672,STK
24,000210,DL,,0.26,2.19,000210,KR7000210005,KOSPI,,45150,2,-600,-1.31,46200,46300,45150,48265,2200395350,946158162600,20955884,STK
25,000215,DL우,,0.14,4.19,000215,KR7000211003,KOSPI,,24350,1,350,1.46,24300,25100,24200,4178,102715000,41056900250,1686115,STK
26,375500,DL이앤씨,11.07,0.29,1.56,375500,KR7375500006,KOSPI,,30950,2,-300,-0.96,31550,31600,30950,73609,2296466200,1197567631850,38693623,STK
27,37550L,DL이앤씨2우(전환),7.59,0.2,2.28,37550L,KR737550K029,KOSPI,,21600,1,200,0.93,21500,21900,21400,2944,63588100,45618141600,2111951,STK
28,37550K,DL이앤씨우,5.63,0.15,3.38,37550K,KR737550K011,KOSPI,,15930,2,-170,-1.06,16200,16300,15900,5043,80785130,33674188050,2113885,STK
29,007340,DN오토모티브,3.24,0.63,3.37,007340,KR7007340003,KOSPI,,91900,1,1400,1.55,91400,93000,91000,17902,1651719300,918449059500,9994005,STK
30,004840,DRB동일,30.27,0.25,2.0,004840,KR7004840005,KOSPI,,4955,1,85,1.75,4905,4965,4880,11711,57833425,98753150000,19930000,STK
31,155660,DSR,3.74,0.3,1.47,155660,KR7155660004,KOSPI,,4110,1,10,0.24,4125,4125,4050,13580,55486530,65760000000,16000000,STK
32,069730,DSR제강,,0.37,1.46,069730,KR7069730000,KOSPI,,4180,2,-5,-0.12,4185,4230,4110,31853,132239895,60192000000,14400000,STK
33,017860,DS단석,9.1,1.51,,017860,KR7017860008,KOSPI,,80200,1,3400,4.43,78000,83200,76900,101122,8105265300,470084600800,5861404,STK
34,017940,E1,4.86,0.28,6.94,017940,KR7017940008,KOSPI,,73700,2,-300,-0.41,73600,74200,73300,12515,922580200,505582000000,6860000,STK
35,365550,ESR켄달스퀘어리츠,,,,365550,KR7365550003,KOSPI,,4970,2,-140,-2.74,5110,5150,4930,340241,1710653649,1059052330000,213089000,STK
36,383220,F&F,5.17,1.57,3.13,383220,KR7383220001,KOSPI,,53400,1,600,1.14,53400,53900,52500,72519,3859321900,2045597805000,38307075,STK
37,007700,F&F홀딩스,4.51,0.25,2.96,007700,KR7007700008,KOSPI,,13670,1,90,0.66,13650,13710,13540,7117,96930490,534693396890,39114367,STK
38,114090,GKL,19.17,1.64,3.24,114090,KR7114090004,KOSPI,,10930,2,-70,-0.64,11100,11150,10910,142151,1560817850,676082473100,61855670,STK
39,078930,GS,3.32,0.31,5.63,078930,KR7078930005,KOSPI,,45350,1,100,0.22,45700,45900,45200,121068,5516595200,4213712392300,92915378,STK
40,006360,GS건설,,0.42,,006360,KR7006360002,KOSPI,,19300,2,-70,-0.36,19560,19680,19190,456387,8844063470,1651722757000,85581490,STK
41,001250,GS글로벌,6.92,0.63,0.72,001250,KR7001250000,KOSPI,,3520,1,45,1.29,3500,3555,3455,2832268,9942863030,290518849280,82533764,STK
42,007070,GS리테일,58.83,0.53,2.42,007070,KR7007070006,KOSPI,,21050,1,100,0.48,21150,21200,20900,108096,2275582800,2204312258100,104717922,STK
43,078935,GS우,3.21,0.3,5.94,078935,KR7078931003,KOSPI,,42800,2,-50,-0.12,43000,43400,42450,11382,487083000,76390552800,1784826,STK
44,012630,HDC,5.48,0.21,2.85,012630,KR7012630000,KOSPI,,10210,1,40,0.39,10120,10320,10050,189487,1939310250,609962971410,59741721,STK
45,039570,HDC랩스,17.76,0.77,5.41,039570,KR7039570007,KOSPI,,8300,2,-50,-0.6,8350,8380,8240,10427,86237560,215448088300,25957601,STK
46,089470,HDC현대EP,6.34,0.36,3.21,089470,KR7089470009,KOSPI,,4365,2,-60,-1.36,4450,4450,4350,82529,362856640,139243500000,31900000,STK
47,294870,HDC현대산업개발,9.58,0.51,2.95,294870,KR7294870001,KOSPI,,21700,2,-100,-0.46,21850,22400,21650,274097,6021490450,1430189061000,65907330,STK
48,009540,HD한국조선해양,17.85,1.34,,009540,KR7009540006,KOSPI,,196700,2,-900,-0.46,199800,203500,189000,723287,140698789400,13921071917200,70773116,STK
49,267250,HD현대,16.15,0.79,4.46,267250,KR7267250009,KOSPI,,81400,2,-400,-0.49,82600,83000,80900,140199,11425067400,6430037119000,78993085,STK
50,267270,HD현대건설기계,14.24,0.6,1.27,267270,KR7267270007,KOSPI,,54400,2,-1400,-2.51,56000,56100,54400,188403,10328192400,1025282022400,18847096,STK
51,443060,HD현대마린솔루션,30.04,7.95,2.2,443060,KR7443060009,KOSPI,,112500,1,600,0.54,112900,115400,111900,158832,17961880200,5000625000000,44450000,STK
52,071970,HD현대마린엔진,16.39,2.72,,071970,KR7071970008,KOSPI,,23800,1,250,1.06,23600,24200,22850,817457,19366543450,679553522200,28552669,STK
53,010620,HD현대미포,,2.25,,010620,KR7010620003,KOSPI,,109100,2,-900,-0.82,111000,113400,106800,301001,32935560000,4357688455900,39942149,STK
54,322000,HD현대에너지솔루션,,0.93,,322000,KR7322000001,KOSPI,,30550,2,-1300,-4.08,32650,32700,30450,1525938,47984218100,342160000000,11200000,STK
55,042670,HD현대인프라코어,10.84,0.76,1.49,042670,KR7042670000,KOSPI,,7300,2,-50,-0.68,7450,7470,7300,988532,7255264390,1457105206900,199603453,STK
56,267260,HD현대일렉트릭,34.0,9.86,0.33,267260,KR7267260008,KOSPI,,297500,1,23500,8.58,288000,301000,283000,670302,197445424500,10724022662500,36047135,STK
57,329180,HD현대중공업,90.55,3.43,,329180,KR7329180004,KOSPI,,204000,2,-2000,-0.97,208000,213000,200500,321646,65788611000,18109715664000,88773116,STK
58,097230,HJ중공업,,0.7,,097230,KR7097230007,KOSPI,,3005,2,-140,-4.45,3145,3175,2995,195974,598451685,250239214405,83274281,STK
59,014790,HL D&I,3.32,0.26,,014790,KR7014790000,KOSPI,,2465,2,-80,-3.14,2545,2595,2445,125183,311746075,93321451465,37858601,STK
60,003580,HLB글로벌,,3.18,,003580,KR7003580008,KOSPI,,5820,1,200,3.56,5790,5910,5680,259603,1507954870,276072037560,47435058,STK
61,204320,HL만도,7.1,0.7,1.68,204320,KR7204320006,KOSPI,,35400,2,-150,-0.42,36100,36250,35250,216868,7708119150,1662282048000,46957120,STK
62,060980,HL홀딩스,4.58,0.31,5.81,060980,KR7060980000,KOSPI,,32650,2,-150,-0.46,32850,33050,32600,10793,353551850,332031236500,10169410,STK
63,011200,HMM,7.46,0.56,3.94,011200,KR7011200003,KOSPI,,17940,1,310,1.76,17900,18070,17770,1305044,23374524550,13437768558240,749039496,STK
64,035000,HS애드,7.8,0.6,7.11,035000,KR7035000009,KOSPI,,6270,1,20,0.32,6250,6280,6240,12152,76163200,103877654430,16567409,STK
65,002460,HS화성,4.32,0.22,5.54,002460,KR7002460004,KOSPI,,9050,2,-120,-1.31,9180,9200,9030,8621,78114360,91857500000,10150000,STK
66,487570,HS효성,,,,487570,KR7487570004,KOSPI,,47200,1,550,1.18,47500,47950,46550,21196,999640850,175863754400,3725927,STK
67,003560,IHQ,,0.73,,003560,KR7003560000,KOSPI,,10760,0,0,0.0,0,0,0,0,0,62107613080,5772083,STK
68,175330,JB금융지주,4.99,0.57,5.66,175330,KR7175330000,KOSPI,,14370,1,90,0.63,14500,14600,14280,231694,3338669700,2803345555260,195083198,STK
69,234080,JW생명과학,7.3,1.17,4.23,234080,KR7234080000,KOSPI,,11750,1,50,0.43,11770,11790,11650,20225,237013400,186056009500,15834554,STK
70,001060,JW중외제약,17.44,2.6,1.35,001060,KR7001060003,KOSPI,,29200,1,100,0.34,29200,29450,28550,57986,1687145450,679949156000,23285930,STK
71,001067,JW중외제약2우B,34.45,5.14,0.69,001067,KR7001062009,KOSPI,,57600,3,0,0.0,57600,57600,57600,8,460800,12094444800,209973,STK
72,001065,JW중외제약우,18.36,2.74,1.38,001065,KR7001061001,KOSPI,,30650,2,-50,-0.16,30850,30850,30200,463,14144050,10480798150,341951,STK
73,096760,JW홀딩스,17.26,1.92,3.06,096760,KR7096760004,KOSPI,,3325,1,35,1.06,3295,3325,3280,59066,195521770,245800432150,73924942,STK
74,105560,KB금융,8.58,0.59,3.44,105560,KR7105560007,KOSPI,,84000,2,-400,-0.47,85700,86100,84000,899404,76261599000,33894930048000,403511072,STK
75,432320,KB스타리츠,,,,432320,KR7432320000,KOSPI,,4390,2,-5,-0.11,4435,4435,4360,59446,260374870,445208711150,101414285,STK
76,002380,KCC,4.04,0.4,2.6,002380,KR7002380004,KOSPI,,302500,1,5500,1.85,301500,308000,299500,32342,9829528500,2688157477500,8886471,STK
77,344820,KCC글라스,10.97,0.44,5.35,344820,KR7344820006,KOSPI,,41000,3,0,0.0,41200,41200,40850,19262,790054900,654790992000,15970512,STK
78,009070,KCTC,5.64,0.55,1.37,009070,KR7009070004,KOSPI,,5410,2,-60,-1.1,5480,5560,5400,696190,3809270200,162300000000,30000000,STK
79,009440,KC그린홀딩스,0.23,0.08,6.44,009440,KR7009440009,KOSPI,,1011,0,0,0.0,0,0,0,0,0,22681764780,22434980,STK
80,119650,KC코트렐,,0.4,,119650,KR7119650000,KOSPI,,697,0,0,0.0,0,0,0,0,0,44377493039,63669287,STK
81,092220,KEC,,0.68,1.73,092220,KR7092220003,KOSPI,,1161,1,18,1.57,1161,1166,1148,617868,713572565,233086006701,200763141,STK
82,003620,KG모빌리티,24.21,1.0,,003620,KR7003620002,KOSPI,,5850,2,-30,-0.51,5910,5980,5720,488715,2855165760,1146179180250,195928065,STK
83,016380,KG스틸,3.2,0.31,3.4,016380,KR7016380008,KOSPI,,5900,2,-20,-0.34,5960,5970,5870,103749,613271800,590052492300,100008897,STK
84,001390,KG케미칼,3.63,0.33,2.73,001390,KR7001390004,KOSPI,,4400,2,-45,-1.01,4470,4500,4400,125588,555976560,301263776000,68469040,STK
85,033180,KH 필룩스,,0.28,,033180,KR7033180001,KOSPI,,6630,0,0,0.0,0,0,0,0,0,125330728770,18903579,STK
