Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
086520,KR7086520004,에코프로,KOSDAQ,우량기업부,89600,2,-1200,-1.32,92300,93100,89300,1125901,102300749200,11929195264000,133138340,KSQ
028300,KR7028300002,HLB,KOSDAQ,중견기업부,90900,1,5400,6.32,87000,92900,85900,3027346,271550467500,11893843587600,130845364,KSQ
348370,KR7348370008,엔켐,KOSDAQ,벤처기업부,211000,1,26000,14.05,197600,217000,196300,632097,132933322700,4386040753000,20786923,KSQ
000250,KR7000250001,삼천당제약,KOSDAQ,중견기업부,166000,1,14700,9.72,153900,168000,151900,672773,108741717000,3893940352000,23457472,KSQ
068760,KR7068760008,셀트리온제약,KOSDAQ,우량기업부,75700,2,-1400,-1.82,77300,79700,73800,538016,41206431300,3148866632100,41596653,KSQ
257720,KR7257720003,실리콘투,KOSDAQ,벤처기업부,45200,1,4800,11.88,42950,47050,42150,7535800,338215900100,2751470176800,60873234,KSQ
277810,KR7277810008,레인보우로보틱스,KOSDAQ,기술성장기업부,135300,1,1900,1.42,137000,137000,133900,99814,13509477400,2624800787400,19399858,KSQ
357780,KR7357780006,솔브레인,KOSDAQ,우량기업부,256500,1,7000,2.81,256500,258500,253500,16761,4288229500,1995202179000,7778566,KSQ
078600,KR7078600004,대주전자재료,KOSDAQ,우량기업부,122200,2,-4000,-3.17,128700,129400,121600,306185,38032159300,1891728464600,15480593,KSQ
089030,KR7089030001,테크윙,KOSDAQ,우량기업부,48900,1,5850,13.59,45800,49650,45500,2325148,112357135800,1826593240500,37353645,KSQ
005290,KR7005290002,동진쎄미켐,KOSDAQ,우량기업부,33600,1,450,1.36,34100,34300,33500,317264,10726158250,1727526998400,51414494,KSQ
039200,KR7039200001,오스코텍,KOSDAQ,벤처기업부,42950,1,2700,6.71,41100,43700,40500,806904,34381966000,1631840796750,37993965,KSQ
041510,KR7041510009,에스엠,KOSDAQ,우량기업부,65600,1,700,1.08,65900,66300,64900,131643,8613503100,1547472643200,23589522,KSQ
225570,KR7225570001,넥슨게임즈,KOSDAQ,우량기업부,23350,1,250,1.08,22950,23800,22350,2468101,57244685000,1537498729500,65845770,KSQ
178320,KR7178320008,서진시스템,KOSDAQ,우량기업부,27000,2,-450,-1.64,28150,28150,26900,461023,12595935450,1512007965000,56000295,KSQ
298380,KR7298380007,에이비엘바이오,KOSDAQ,기술성장기업부,31100,1,1350,4.54,29900,31200,29800,935931,28702834900,1494286237900,48047789,KSQ
086900,KR7086900008,메디톡스,KOSDAQ,우량기업부,201000,1,13700,7.31,189400,201000,189400,203212,40226553200,1466997897000,7298497,KSQ
096530,KR7096530001,씨젠,KOSDAQ,우량기업부,27900,1,750,2.76,27700,28650,27400,2097226,58778905050,1457105232600,52225994,KSQ
065350,KR7065350001,신성델타테크,KOSDAQ,우량기업부,50300,1,1300,2.65,49000,51400,47850,363755,18035776600,1382442584400,27483948,KSQ
232140,KR7232140004,와이씨,KOSDAQ,우량기업부,16690,1,730,4.57,16700,17000,16320,3470439,57975639620,1369336891500,82045350,KSQ
067630,KR7067630004,HLB생명과학,KOSDAQ,중견기업부,11320,1,350,3.19,11240,11620,11010,1052894,11933772080,1343368126720,118672096,KSQ
950160,KR8840120008,코오롱티슈진,KOSDAQ,외국기업(소속부없음),16830,1,560,3.44,16500,16830,16200,153963,2542831180,1337419680300,79466410,KSQ
140860,KR7140860008,파크시스템스,KOSDAQ,우량기업부,189500,1,2600,1.39,190000,191000,186400,18929,3583010200,1322815930500,6980559,KSQ
310210,KR7310210000,보로노이,KOSDAQ,기술성장기업부,70700,1,2200,3.21,69900,72400,68000,206838,14532068600,1279233781000,18093830,KSQ
095340,KR7095340006,ISC,KOSDAQ,우량기업부,57700,1,800,1.41,59200,59300,57000,172028,9965787100,1223070246600,21197058,KSQ
087010,KR7087010005,펩트론,KOSDAQ,기술성장기업부,58000,2,-4500,-7.2,60900,61800,57700,1401307,82132117800,1198126300000,20657350,KSQ
084370,KR7084370006,유진테크,KOSDAQ,우량기업부,51600,1,3600,7.5,50100,52300,49350,428750,22094252600,1182467767200,22916042,KSQ
051980,KR7051980001,중앙첨단소재,KOSDAQ,중견기업부,11710,1,510,4.55,11310,12060,11310,1925721,22578803800,1169039769420,99832602,KSQ
417200,KR7417200003,LS머트리얼즈,KOSDAQ,중견기업부,17230,1,150,0.88,17550,17580,17150,260405,4509659790,1165655314570,67652659,KSQ
018290,KR7018290007,브이티,KOSDAQ,우량기업부,32300,1,2000,6.6,31750,33000,31450,1654602,53453800250,1156275626100,35798007,KSQ
031980,KR7031980006,피에스케이홀딩스,KOSDAQ,우량기업부,53500,1,2200,4.29,53900,55300,52300,608687,32957360300,1153588132500,21562395,KSQ
281740,KR7281740001,레이크머티리얼즈,KOSDAQ,우량기업부,16840,2,-460,-2.66,17620,17640,16840,583885,10041955240,1106902428320,65730548,KSQ
121600,KR7121600001,나노신소재,KOSDAQ,우량기업부,89600,2,-800,-0.88,93200,93300,89300,62443,5659541100,1092768588800,12196078,KSQ
033100,KR7033100009,제룡전기,KOSDAQ,우량기업부,68000,1,3000,4.62,67500,68700,66700,559867,38050252200,1092243812000,16062409,KSQ
352480,KR7352480008,씨앤씨인터내셔널,KOSDAQ,벤처기업부,106100,1,3900,3.82,105400,107700,102800,92030,9726107100,1062479140100,10013941,KSQ
328130,KR7328130000,루닛,KOSDAQ,기술성장기업부,36650,1,500,1.38,37150,37450,36500,254620,9393619450,1058201020800,28873152,KSQ
112040,KR7112040001,위메이드,KOSDAQ,중견기업부,30950,2,-1050,-3.28,32000,32250,30950,205715,6434678300,1050705548850,33948483,KSQ
204270,KR7204270003,제이앤티씨,KOSDAQ,중견기업부,17590,2,-1700,-8.81,17200,18140,16350,3680040,63280611260,1017554516940,57848466,KSQ
140410,KR7140410002,메지온,KOSDAQ,중견기업부,33850,2,-450,-1.31,34950,34950,33800,64141,2186023800,1013364674300,29936918,KSQ
085660,KR7085660009,차바이오텍,KOSDAQ,중견기업부,16700,1,30,0.18,16670,16830,16530,204236,3405401690,940451198100,56314443,KSQ
214370,KR7214370009,케어젠,KOSDAQ,벤처기업부,17050,1,880,5.44,16320,17190,16320,106381,1799276960,915840750000,53715000,KSQ
078130,KR7078130002,국일제지,KOSDAQ,관리종목(소속부없음),800,0,0,0.0,0,0,0,0,0,901924696800,1127405871,KSQ
047920,KR7047920004,HLB제약,KOSDAQ,기술성장기업부,27900,1,950,3.53,27250,28750,27050,798227,22306780050,887219832600,31799994,KSQ
048410,KR7048410005,현대바이오,KOSDAQ,중견기업부,21350,1,750,3.64,21000,21950,20650,1055308,22654836200,850191330800,39821608,KSQ
064550,KR7064550007,바이오니아,KOSDAQ,우량기업부,32750,3,0,0.0,33400,33500,32350,331251,10899981150,845287030250,25810291,KSQ
317330,KR7317330009,덕산테코피아,KOSDAQ,우량기업부,41250,1,1350,3.38,40500,42850,40500,368273,15292268500,843949590000,20459384,KSQ
241710,KR7241710003,코스메카코리아,KOSDAQ,우량기업부,79000,1,5100,6.9,78500,83400,77200,317025,25316121600,843720000000,10680000,KSQ
042000,KR7042000000,카페24,KOSDAQ,기술성장기업부,34100,1,350,1.04,34000,34650,33100,497512,16868394050,827029141400,24253054,KSQ
119860,KR7119860005,커넥트웨이브,KOSDAQ,우량기업부,18000,3,0,0.0,17970,18010,17960,163715,2945018540,811186632000,45065924,KSQ
067310,KR7067310003,하나마이크론,KOSDAQ,우량기업부,15180,2,-170,-1.11,15560,15820,15150,728488,11204321870,791932630500,52169475,KSQ
222080,KR7222080004,씨아이에스,KOSDAQ,우량기업부,10640,2,-50,-0.47,10850,10890,10560,1852789,19970398590,763200039280,71729327,KSQ
098460,KR7098460009,고영,KOSDAQ,우량기업부,10950,1,150,1.39,11040,11180,10910,390407,4298208400,751769567250,68654755,KSQ
025320,KR7025320003,시노펙스,KOSDAQ,우량기업부,8930,2,-310,-3.35,9380,9560,8780,3521944,31726056930,748494168480,83817936,KSQ
115450,KR7115450009,HLB테라퓨틱스,KOSDAQ,중견기업부,9260,1,60,0.65,9290,9590,9070,1425691,13318403580,742095779580,80139933,KSQ
053030,KR7053030003,바이넥스,KOSDAQ,우량기업부,22500,1,2100,10.29,20400,22500,20000,3442012,75115557450,714623580000,31761048,KSQ
440110,KR7440110005,파두,KOSDAQ,기술성장기업부,14160,2,-240,-1.67,14600,14740,14120,242557,3483138820,696519921600,49189260,KSQ
007390,KR7007390008,네이처셀,KOSDAQ,중견기업부,10810,1,10,0.09,10800,10910,10590,304071,3261375340,695700856360,64357156,KSQ
036540,KR7036540003,SFA반도체,KOSDAQ,우량기업부,4175,1,25,0.6,4235,4260,4160,426503,1787093830,686621765025,164460303,KSQ
365340,KR7365340009,성일하이텍,KOSDAQ,기술성장기업부,55500,2,-900,-1.6,57600,57600,55300,21624,1210278500,673497883500,12135097,KSQ
025900,KR7025900002,동화기업,KOSDAQ,중견기업부,12550,2,-800,-5.99,13770,13770,12510,215018,2765991400,634493926750,50557285,KSQ
036810,KR7036810000,에프에스티,KOSDAQ,우량기업부,28800,1,450,1.59,29300,29400,28550,110080,3180686250,626595523200,21756789,KSQ
041190,KR7041190000,우리기술투자,KOSDAQ,우량기업부,7390,1,30,0.41,7250,7400,7230,578185,4230102480,620760000000,84000000,KSQ
101490,KR7101490001,에스앤에스텍,KOSDAQ,우량기업부,28000,1,200,0.72,28400,28600,27750,96512,2714323500,600640516000,21451447,KSQ
199800,KR7199800004,툴젠,KOSDAQ,기술성장기업부,75300,1,300,0.4,75100,76500,74000,31278,2355442700,597954137400,7940958,KSQ
015750,KR7015750003,성우하이텍,KOSDAQ,우량기업부,7420,1,30,0.41,7580,7630,7350,843058,6279024660,593600000000,80000000,KSQ
237880,KR7237880000,클리오,KOSDAQ,우량기업부,32200,1,600,1.9,32150,32800,31650,80199,2582434650,581897566600,18071353,KSQ
278280,KR7278280003,천보,KOSDAQ,우량기업부,58000,2,-700,-1.19,60200,60300,57300,16486,963190800,580000000000,10000000,KSQ
189300,KR7189300007,인텔리안테크,KOSDAQ,우량기업부,53600,1,2700,5.3,51200,53900,50500,72695,3820977400,575306702400,10733334,KSQ
060370,KR7060370004,LS마린솔루션,KOSDAQ,중견기업부,19600,1,30,0.15,20000,20250,19570,281967,5602903240,562652907600,28706781,KSQ
340570,KR7340570001,티앤엘,KOSDAQ,우량기업부,68300,1,3300,5.08,68200,68700,66000,270091,18303773500,555142400000,8128000,KSQ
053800,KR7053800009,안랩,KOSDAQ,우량기업부,55400,3,0,0.0,55900,56100,55400,13430,747436400,554767567000,10013855,KSQ
131290,KR7131290009,티에스이,KOSDAQ,우량기업부,50100,1,1200,2.45,50900,51300,49100,104709,5280636350,554177592900,11061429,KSQ
290690,KR7290690007,소룩스,KOSDAQ,중견기업부,12080,1,790,7.0,11590,14100,10750,4051515,50597062090,550417227200,45564340,KSQ
336570,KR7336570007,원텍,KOSDAQ,기술성장기업부,6110,2,-150,-2.4,6290,6300,6080,782729,4812583500,545871182090,89340619,KSQ
420770,KR7420770000,기가비스,KOSDAQ,중견기업부,42700,1,650,1.55,42500,42750,41750,57094,2412199000,541254866600,12675758,KSQ
335890,KR7335890000,비올,KOSDAQ,벤처기업부,9250,2,-30,-0.32,9390,9480,9200,921050,8546586580,540376906250,58419125,KSQ
399720,KR7399720002,가온칩스,KOSDAQ,벤처기업부,46750,1,550,1.19,47000,47350,46100,111568,5218675000,537078960000,11488320,KSQ
144510,KR7144510005,지씨셀,KOSDAQ,우량기업부,33250,1,1250,3.91,32600,33500,32100,40882,1347546200,525361438000,15800344,KSQ
418550,KR7418550000,제이오,KOSDAQ,기술성장기업부,16530,1,130,0.79,16760,16850,16250,105605,1735712700,525195672690,31772273,KSQ
058970,KR7058970005,엠로,KOSDAQ,기술성장기업부,43800,1,650,1.51,44200,44400,43250,46221,2017930100,519192848400,11853718,KSQ
194480,KR7194480000,데브시스터즈,KOSDAQ,벤처기업부,42850,2,-1300,-2.94,44300,44550,42500,509448,21851261900,514773333000,12013380,KSQ
080220,KR7080220007,제주반도체,KOSDAQ,우량기업부,14530,2,-120,-0.82,14990,15090,14320,653779,9621134960,500454363490,34442833,KSQ
091120,KR7091120006,이엠텍,KOSDAQ,우량기업부,29150,2,-650,-2.18,28650,29700,28600,230942,6719419350,499425084400,17132936,KSQ
376300,KR7376300000,디어유,KOSDAQ,기술성장기업부,20950,3,0,0.0,21150,21500,20950,37939,800612500,497319605700,23738406,KSQ
058610,KR7058610007,에스피지,KOSDAQ,우량기업부,22300,1,800,3.72,21850,22400,21450,191276,4194792700,494555128000,22177360,KSQ
251970,KR7251970000,펌텍코리아,KOSDAQ,우량기업부,39050,1,750,1.96,39400,40350,38800,184280,7250545100,484220000000,12400000,KSQ
460930,KR7460930001,현대힘스,KOSDAQ,중견기업부,13720,1,120,0.88,13690,13820,13490,202112,2754735600,483957510120,35273871,KSQ
079370,KR7079370003,제우스,KOSDAQ,우량기업부,15530,1,270,1.77,15710,15840,15400,450784,7058145920,481693854700,31016990,KSQ
101360,KR7101360006,에코앤드림,KOSDAQ,벤처기업부,32350,1,550,1.73,32950,33700,32100,248940,8151253800,480706086650,14859539,KSQ
323280,KR7323280008,태성,KOSDAQ,중견기업부,18310,1,1560,9.31,17260,18730,16240,10153821,180086614130,472777566300,25820730,KSQ
099190,KR7099190001,아이센스,KOSDAQ,우량기업부,17040,2,-170,-0.99,17640,17650,16850,110341,1884837640,470939131920,27637273,KSQ
358570,KR7358570000,지아이이노베이션,KOSDAQ,기술성장기업부,10500,2,-30,-0.28,10700,10700,10390,184932,1938574140,464066652000,44196824,KSQ
253590,KR7253590004,네오셈,KOSDAQ,우량기업부,10440,2,-60,-0.57,10510,10960,10330,1474448,15633074910,457994072160,43869164,KSQ
206640,KR7206640005,바디텍메드,KOSDAQ,우량기업부,19440,1,550,2.91,19180,19800,19080,278336,5443182940,456578726400,23486560,KSQ
025980,KR7025980004,아난티,KOSDAQ,우량기업부,5140,2,-20,-0.39,5210,5260,5130,212892,1101751210,455555516920,88629478,KSQ
030520,KR7030520001,한글과컴퓨터,KOSDAQ,우량기업부,18800,2,-100,-0.53,19300,19300,18640,241794,4554595110,454579187200,24179744,KSQ
338220,KR7338220007,뷰노,KOSDAQ,기술성장기업부,32300,1,1550,5.04,31250,32700,31250,278632,8963776050,448589409100,13888217,KSQ
256840,KR7256840000,한국비엔씨,KOSDAQ,벤처기업부,6560,1,510,8.43,6100,6850,6090,10180963,66792930300,445505626080,67912443,KSQ
095660,KR7095660007,네오위즈,KOSDAQ,우량기업부,20150,3,0,0.0,20350,20450,20000,87551,1763331200,443979437850,22033719,KSQ
082920,KR7082920000,비츠로셀,KOSDAQ,우량기업부,19270,1,270,1.42,19070,19350,18980,58484,1121464380,440747544510,22872213,KSQ
334970,KR7334970001,프레스티지바이오로직스,KOSDAQ,기술성장기업부,7140,1,910,14.61,6240,7200,6130,1533072,10554819110,439120488660,61501469,KSQ
032500,KR7032500001,케이엠더블유,KOSDAQ,중견기업부,11020,2,-400,-3.5,11560,11600,10850,149038,1648875550,438826130660,39820883,KSQ
314930,KR7314930009,바이오다인,KOSDAQ,기술성장기업부,14680,1,330,2.3,14430,14820,14340,115221,1676532430,436937032040,29764103,KSQ
099320,KR7099320004,쎄트렉아이,KOSDAQ,우량기업부,39850,1,100,0.25,40600,40700,39750,35757,1434095400,436408428300,10951278,KSQ
215600,KR7215600008,신라젠,KOSDAQ,중견기업부,3170,2,-55,-1.71,3240,3245,3165,631831,2012541035,435453786250,137367125,KSQ
039440,KR7039440003,에스티아이,KOSDAQ,우량기업부,27500,1,2300,9.13,26150,28150,26150,679879,18729381200,435325000000,15830000,KSQ
179900,KR7179900006,유티아이,KOSDAQ,벤처기업부,26700,2,-450,-1.66,27650,27650,26300,52707,1402835750,434860096500,16286895,KSQ
114840,KR7114840002,아이패밀리에스씨,KOSDAQ,벤처기업부,25250,1,50,0.2,26000,26300,25150,440519,11335194750,434349086000,17201944,KSQ
220100,KR7220100002,퓨쳐켐,KOSDAQ,기술성장기업부,19620,1,270,1.4,19300,19680,19070,429488,8305803810,433644281100,22102155,KSQ
228760,KR7228760005,지노믹트리,KOSDAQ,기술성장기업부,17720,1,520,3.02,17290,18100,17000,211113,3725051950,431700540760,24362333,KSQ
397030,KR7397030008,에이프릴바이오,KOSDAQ,기술성장기업부,19690,1,890,4.73,19030,19700,18770,472177,9118492150,431546045040,21917016,KSQ
372320,KR7372320002,큐로셀,KOSDAQ,기술성장기업부,30550,1,300,0.99,30700,30900,30200,59729,1820535600,430453318750,14090125,KSQ
014620,KR7014620009,성광벤드,KOSDAQ,우량기업부,15020,2,-30,-0.2,15210,15220,14710,599936,8958883660,429572000000,28600000,KSQ
290650,KR7290650001,엘앤씨바이오,KOSDAQ,우량기업부,18900,1,120,0.64,19240,19360,18760,59679,1131969520,428744439900,22684891,KSQ
206650,KR7206650004,유바이오로직스,KOSDAQ,기술성장기업부,11520,3,0,0.0,11640,11690,11490,130435,1507565210,420299216640,36484307,KSQ
101160,KR7101160000,월덱스,KOSDAQ,우량기업부,25400,1,900,3.67,24800,25550,24750,524980,13239624500,419379222200,16510993,KSQ
032190,KR7032190001,다우데이타,KOSDAQ,우량기업부,10880,1,100,0.93,10870,10970,10840,44907,489358970,416704000000,38300000,KSQ
107640,KR7107640005,한중엔시에스,KOSDAQ,기술성장기업부,47500,2,-1450,-2.96,48950,49000,46750,343560,16418825100,415693685000,8751446,KSQ
006730,KR7006730006,서부T&D,KOSDAQ,우량기업부,6240,2,-80,-1.27,6330,6490,6230,105310,660594930,414503999520,66426923,KSQ
200670,KR7200670008,휴메딕스,KOSDAQ,우량기업부,36600,1,1900,5.48,34950,36850,34800,160831,5812997600,411015438000,11229930,KSQ
